"GC/OG representative 1"	"GC/OG representative 2"	"Co-expressiom Pearson r"	"Representative 1 type"	"Representative 2 type"	"Representative 2 annotation"
"TARA_109_MES_0.22-3_G_scaffold274103_1_gene246974"	"TARA_070_MES_0.22-0.45_G_scaffold51551_1_gene57282"	0.98759198132767	"GC"	"GC"	NA
"TARA_070_MES_0.22-0.45_G_scaffold51551_1_gene57282"	"TARA_109_MES_0.22-3_G_scaffold274103_1_gene246974"	0.98759198132767	"GC"	"GC"	NA
"TARA_142_MES_0.22-3_G_scaffold74226_1_gene54513"	"TARA_070_MES_0.22-0.45_G_scaffold51551_1_gene57282"	0.98731648900075	"GC"	"GC"	NA
"TARA_138_MES_0.22-3_G_scaffold153872_1_gene142712"	"TARA_037_MES_0.1-0.22_G_scaffold61798_2_gene57042"	0.987219650727365	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold133893_1_gene200817"	"TARA_037_MES_0.1-0.22_G_scaffold92276_2_gene89887"	0.987165263031975	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold92276_2_gene89887"	"TARA_039_MES_0.1-0.22_G_scaffold133893_1_gene200817"	0.987165263031975	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold219247_1_gene220643"	"TARA_037_MES_0.1-0.22_G_C20553366_1_gene749264"	0.987116372577636	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20553366_1_gene749264"	"TARA_037_MES_0.1-0.22_G_scaffold219247_1_gene220643"	0.987116372577636	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold125933_1_gene124681"	"110XH"	0.98706550668985	"GC"	"OG"	NA
"TARA_039_MES_0.1-0.22_G_C6880759_1_gene403573"	"TARA_037_MES_0.1-0.22_G_scaffold338390_1_gene427912"	0.987036929394206	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold338390_1_gene427912"	"TARA_039_MES_0.1-0.22_G_C6880759_1_gene403573"	0.987036929394206	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold112343_1_gene110839"	"TARA_138_MES_0.22-3_G_scaffold153872_1_gene142712"	0.987030863847075	"GC"	"GC"	NA
"TARA_137_DCM_0.22-3_G_scaffold34073_2_gene36295"	"TARA_137_DCM_0.22-3_G_C14254112_1_gene611399"	0.987023579392802	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold136687_1_gene214940"	"0Z6UH"	0.986715602245991	"GC"	"OG"	"regulatory protein, arsR"
"TARA_039_MES_0.1-0.22_G_scaffold116583_1_gene155084"	"TARA_039_MES_0.1-0.22_G_scaffold111629_1_gene144870"	0.9867053798994	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold328062_1_gene395454"	"TARA_037_MES_0.1-0.22_G_scaffold290368_1_gene317502"	0.98667594773193	"GC"	"GC"	NA
"TARA_137_MES_0.22-3_G_C18194674_1_gene540722"	"TARA_137_DCM_0.22-3_G_scaffold127973_1_gene141508"	0.986319405469856	"GC"	"GC"	NA
"TARA_137_DCM_0.22-3_G_scaffold127973_1_gene141508"	"TARA_137_MES_0.22-3_G_C18194674_1_gene540722"	0.986319405469856	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold289197_1_gene315426"	"TARA_037_MES_0.1-0.22_G_scaffold128407_1_gene127582"	0.986316619022001	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold128407_1_gene127582"	"TARA_037_MES_0.1-0.22_G_scaffold289197_1_gene315426"	0.986316619022001	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20626414_1_gene786162"	"TARA_037_MES_0.1-0.22_G_scaffold290368_1_gene317502"	0.986286715242279	"GC"	"GC"	NA
"TARA_037_MES_0.22-1.6_G_C14182834_1_gene409717"	"TARA_037_MES_0.1-0.22_G_C20668695_1_gene809061"	0.986163185891393	"GC"	"GC"	NA
"TARA_038_MES_0.1-0.22_G_C5172600_1_gene258123"	"TARA_037_MES_0.1-0.22_G_C20542534_1_gene744013"	0.986034004703686	"GC"	"GC"	NA
"TARA_132_MES_0.22-3_G_C22501600_1_gene254099"	"TARA_142_MES_0.22-3_G_scaffold74226_1_gene54513"	0.985930935031456	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_C6876987_1_gene401250"	"TARA_037_MES_0.1-0.22_G_scaffold289197_1_gene315426"	0.985830082289729	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20662406_1_gene805489"	"TARA_137_MES_0.22-3_G_C18240432_1_gene570451"	0.985647765503624	"GC"	"GC"	NA
"TARA_137_MES_0.22-3_G_scaffold212591_1_gene243198"	"TARA_037_MES_0.1-0.22_G_C20703107_1_gene831958"	0.985483788528074	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20703107_1_gene831958"	"TARA_137_MES_0.22-3_G_scaffold212591_1_gene243198"	0.985483788528074	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold159302_1_gene158865"	"TARA_037_MES_0.1-0.22_G_C20668695_1_gene809061"	0.985375117333311	"GC"	"GC"	NA
"TARA_137_MES_0.22-3_G_scaffold191989_1_gene195899"	"TARA_037_MES_0.1-0.22_G_C20626414_1_gene786162"	0.98528608443425	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold118443_1_gene117320"	"TARA_037_MES_0.1-0.22_G_C20591362_1_gene768200"	0.985275982152501	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold132160_1_gene194486"	"TARA_039_MES_0.1-0.22_G_scaffold106497_1_gene135263"	0.985210697768605	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold134844_1_gene204506"	"TARA_137_MES_0.22-3_G_C18194674_1_gene540722"	0.985200035045088	"GC"	"GC"	NA
"TARA_137_MES_0.22-3_G_C18225706_1_gene560258"	"TARA_137_MES_0.22-3_G_C18194674_1_gene540722"	0.985184095059075	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold83421_1_gene99849"	"TARA_137_DCM_0.22-3_G_C14254112_1_gene611399"	0.985156031820623	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20652494_1_gene800218"	"TARA_037_MES_0.1-0.22_G_C20633572_1_gene789977"	0.985061254973176	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20633572_1_gene789977"	"TARA_037_MES_0.1-0.22_G_C20652494_1_gene800218"	0.985061254973176	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20221182_1_gene595841"	"TARA_037_MES_0.1-0.22_G_C20641572_1_gene794238"	0.985013443805927	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold304178_1_gene343093"	"TARA_037_MES_0.1-0.22_G_scaffold271465_1_gene285975"	0.9849105738955	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold271465_1_gene285975"	"TARA_037_MES_0.1-0.22_G_scaffold304178_1_gene343093"	0.9849105738955	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold23180_1_gene26755"	"TARA_037_MES_0.1-0.22_G_scaffold275592_1_gene292213"	0.984875592108332	"GC"	"GC"	NA
"TARA_137_DCM_0.22-3_G_scaffold212468_1_gene248560"	"TARA_037_MES_0.1-0.22_G_C20694899_1_gene824916"	0.984700286715155	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20694899_1_gene824916"	"TARA_137_DCM_0.22-3_G_scaffold212468_1_gene248560"	0.984700286715155	"GC"	"GC"	NA
"TARA_137_MES_0.22-3_G_scaffold31864_1_gene26360"	"TARA_039_MES_0.1-0.22_G_scaffold23180_1_gene26755"	0.984606182293675	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20494880_1_gene721051"	"TARA_037_MES_0.1-0.22_G_C20335334_1_gene647227"	0.984544499314826	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20335334_1_gene647227"	"TARA_037_MES_0.1-0.22_G_C20494880_1_gene721051"	0.984544499314826	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold95606_1_gene116193"	"TARA_037_MES_0.1-0.22_G_scaffold250697_1_gene257020"	0.984476885079477	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold250697_1_gene257020"	"TARA_039_MES_0.1-0.22_G_scaffold95606_1_gene116193"	0.984476885079477	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold329588_1_gene399744"	"TARA_037_MES_0.1-0.22_G_C20396875_1_gene675512"	0.984190251209591	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20396875_1_gene675512"	"TARA_037_MES_0.1-0.22_G_scaffold329588_1_gene399744"	0.984190251209591	"GC"	"GC"	NA
"TARA_039_MES_0.22-1.6_G_scaffold155837_1_gene207932"	"TARA_037_MES_0.1-0.22_G_C20696043_1_gene825829"	0.984178793110718	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20696043_1_gene825829"	"TARA_039_MES_0.22-1.6_G_scaffold155837_1_gene207932"	0.984178793110718	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_C6907017_1_gene421239"	"TARA_037_MES_0.1-0.22_G_scaffold77625_1_gene74221"	0.983865792179435	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold77625_1_gene74221"	"TARA_039_MES_0.1-0.22_G_C6907017_1_gene421239"	0.983865792179435	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold220270_1_gene221758"	"TARA_039_MES_0.1-0.22_G_scaffold95606_1_gene116193"	0.983837547651872	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold241784_1_gene245867"	"TARA_037_MES_0.1-0.22_G_C20512548_1_gene729575"	0.983830880836255	"GC"	"GC"	NA
"TARA_137_DCM_0.22-3_G_C14160548_1_gene566475"	"TARA_037_MES_0.1-0.22_G_scaffold38436_1_gene36039"	0.983787075746816	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold38436_1_gene36039"	"TARA_137_DCM_0.22-3_G_C14160548_1_gene566475"	0.983787075746816	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold135179_1_gene134057"	"TARA_037_MES_0.1-0.22_G_scaffold219247_1_gene220643"	0.983772670509372	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold345693_1_gene468353"	"TARA_037_MES_0.1-0.22_G_scaffold125933_1_gene124681"	0.983761316964365	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20622970_1_gene784330"	"110XH"	0.983715785354728	"GC"	"OG"	NA
"TARA_037_MES_0.1-0.22_G_C20433841_1_gene692766"	"TARA_037_MES_0.1-0.22_G_scaffold92276_2_gene89887"	0.983670432784839	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold66661_1_gene62004"	"TARA_039_MES_0.1-0.22_G_C6880759_1_gene403573"	0.983635640348296	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold291943_1_gene320273"	"TARA_037_MES_0.1-0.22_G_C20618168_1_gene781809"	0.983628652001562	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20618168_1_gene781809"	"TARA_037_MES_0.1-0.22_G_scaffold291943_1_gene320273"	0.983628652001562	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20089545_1_gene537588"	"TARA_039_MES_0.1-0.22_G_C6880759_1_gene403573"	0.98354962709315	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold7822_1_gene8592"	"TARA_039_MES_0.1-0.22_G_C6824433_1_gene371606"	0.983464461547673	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_C6824433_1_gene371606"	"TARA_039_MES_0.1-0.22_G_scaffold7822_1_gene8592"	0.983464461547673	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20643288_1_gene795164"	"TARA_037_MES_0.1-0.22_G_C20685121_1_gene818477"	0.98308557697964	"GC"	"GC"	NA
"TARA_138_MES_0.22-3_G_scaffold38108_1_gene33661"	"TARA_137_MES_0.22-3_G_C18194674_1_gene540722"	0.98304512169723	"GC"	"GC"	NA
"TARA_137_MES_0.22-3_G_C17944363_1_gene409305"	"TARA_138_MES_0.22-3_G_scaffold38108_1_gene33661"	0.983010453129759	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold95123_1_gene115432"	"TARA_037_MES_0.1-0.22_G_scaffold112343_1_gene110839"	0.982885607079482	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold136665_1_gene214756"	"TARA_037_MES_0.1-0.22_G_C20626414_1_gene786162"	0.982626438901541	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold79676_1_gene76337"	"TARA_037_MES_0.1-0.22_G_scaffold61798_2_gene57042"	0.982603347289769	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold84575_1_gene81460"	"TARA_039_MES_0.1-0.22_G_scaffold134844_1_gene204506"	0.982596187018155	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold344832_1_gene459852"	"TARA_037_MES_0.1-0.22_G_scaffold328062_1_gene395520"	0.982181121842918	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold328062_1_gene395520"	"TARA_037_MES_0.1-0.22_G_scaffold344832_1_gene459852"	0.982181121842918	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold207433_1_gene207937"	"TARA_138_MES_0.22-3_G_scaffold38108_1_gene33661"	0.981860620659506	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold328837_1_gene397630"	"TARA_037_MES_0.1-0.22_G_C20641572_1_gene794238"	0.981671006537598	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_C6901465_1_gene417057"	"TARA_037_MES_0.1-0.22_G_scaffold122569_1_gene121289"	0.981657251368675	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold334238_1_gene413598"	"TARA_037_MES_0.1-0.22_G_C20433841_1_gene692766"	0.981379592942206	"GC"	"GC"	NA
"TARA_137_MES_0.22-3_G_scaffold214655_1_gene253424"	"TARA_037_MES_0.1-0.22_G_scaffold125933_1_gene124681"	0.981308544418445	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold25352_1_gene24259"	"TARA_037_MES_0.1-0.22_G_C20696313_1_gene825969"	0.981266091548649	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20695429_1_gene825356"	"TARA_037_MES_0.1-0.22_G_C20433841_1_gene692766"	0.981080710678183	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold286519_1_gene310787"	"TARA_037_MES_0.1-0.22_G_scaffold343896_2_gene453773"	0.981032163509347	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold8763_1_gene9448"	"TARA_037_MES_0.1-0.22_G_C20533460_1_gene739671"	0.981017225551541	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20533460_1_gene739671"	"TARA_039_MES_0.1-0.22_G_scaffold8763_1_gene9448"	0.981017225551541	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold336806_1_gene422333"	"TARA_037_MES_0.1-0.22_G_scaffold250697_1_gene257020"	0.980941555924217	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold288684_2_gene314554"	"TARA_037_MES_0.1-0.22_G_scaffold263659_1_gene273963"	0.980932862493854	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold263659_1_gene273963"	"TARA_037_MES_0.1-0.22_G_scaffold288684_2_gene314554"	0.980932862493854	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20174934_1_gene575384"	"TARA_037_MES_0.1-0.22_G_scaffold275592_1_gene292213"	0.980824001302671	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold40627_1_gene38110"	"TARA_037_MES_0.1-0.22_G_scaffold29516_1_gene28019"	0.98078843533652	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold29516_1_gene28019"	"TARA_037_MES_0.1-0.22_G_scaffold40627_1_gene38110"	0.98078843533652	"GC"	"GC"	NA
"TARA_039_MES_0.22-1.6_G_scaffold17225_2_gene17796"	"TARA_037_MES_0.1-0.22_G_C20542534_1_gene744013"	0.98072657140767	"GC"	"GC"	NA
"TARA_133_MES_0.22-3_G_scaffold188465_1_gene152866"	"TARA_078_MES_0.45-0.8_G_C7836077_1_gene248848"	0.98053425411606	"GC"	"GC"	NA
"TARA_078_MES_0.45-0.8_G_C7836077_1_gene248848"	"TARA_133_MES_0.22-3_G_scaffold188465_1_gene152866"	0.98053425411606	"GC"	"GC"	NA
"TARA_025_DCM_0.22-1.6_G_scaffold212182_1_gene203357"	"TARA_022_SRF_lt-0.22_G_scaffold140925_1_gene132431"	0.980444210221671	"GC"	"GC"	NA
"TARA_022_SRF_lt-0.22_G_scaffold140925_1_gene132431"	"TARA_025_DCM_0.22-1.6_G_scaffold212182_1_gene203357"	0.980444210221671	"GC"	"GC"	NA
"TARA_076_MES_0.22-3_G_scaffold256769_1_gene225662"	"TARA_070_MES_0.22-0.45_G_scaffold51551_1_gene57282"	0.980330950304083	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20609444_1_gene777242"	"TARA_037_MES_0.1-0.22_G_scaffold338390_1_gene427912"	0.980270177960153	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20628406_1_gene787214"	"TARA_038_MES_0.1-0.22_G_C5172600_1_gene258123"	0.980145116419784	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20278385_1_gene621393"	"TARA_037_MES_0.1-0.22_G_C20591362_1_gene768200"	0.980138052730599	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold333207_1_gene410287"	"TARA_037_MES_0.1-0.22_G_C20628406_1_gene787214"	0.980032048676065	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold136124_1_gene210952"	"TARA_037_MES_0.1-0.22_G_C20628406_1_gene787214"	0.979995053516887	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold269523_1_gene282755"	"TARA_037_MES_0.1-0.22_G_C20278385_1_gene621393"	0.979930665888133	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20681747_1_gene816389"	"TARA_037_MES_0.1-0.22_G_scaffold334238_1_gene413598"	0.979781007676572	"GC"	"GC"	NA
"TARA_037_MES_0.22-1.6_G_C14468203_1_gene537029"	"TARA_037_MES_0.1-0.22_G_scaffold289197_1_gene315426"	0.979639501756672	"GC"	"GC"	NA
"TARA_137_MES_0.22-3_G_C18265688_1_gene592056"	"TARA_039_MES_0.1-0.22_G_C6880759_1_gene403573"	0.97942949180841	"GC"	"GC"	NA
"TARA_133_DCM_0.22-3_G_scaffold227342_1_gene221852"	"TARA_034_SRF_0.1-0.22_G_scaffold151188_1_gene173769"	0.979378770741088	"GC"	"GC"	NA
"TARA_034_SRF_0.1-0.22_G_scaffold151188_1_gene173769"	"TARA_133_DCM_0.22-3_G_scaffold227342_1_gene221852"	0.979378770741088	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold88001_1_gene105574"	"TARA_137_MES_0.22-3_G_scaffold191989_1_gene195899"	0.979372703980133	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold78184_1_gene94000"	"TARA_037_MES_0.1-0.22_G_scaffold40627_1_gene38110"	0.979350463240997	"GC"	"GC"	NA
"TARA_137_MES_0.22-3_G_scaffold214797_1_gene254396"	"TARA_037_MES_0.1-0.22_G_C20676751_1_gene813540"	0.979219365662886	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20676751_1_gene813540"	"TARA_137_MES_0.22-3_G_scaffold214797_1_gene254396"	0.979219365662886	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold148876_1_gene148160"	"TARA_037_MES_0.1-0.22_G_C20628406_1_gene787214"	0.979190989313541	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold136903_1_gene216850"	"TARA_039_MES_0.1-0.22_G_scaffold95606_1_gene116193"	0.979072400081419	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold342053_1_gene443534"	"TARA_039_MES_0.1-0.22_G_scaffold95606_1_gene116193"	0.978786055346932	"GC"	"GC"	NA
"TARA_039_MES_0.1-0.22_G_scaffold48643_1_gene60190"	"TARA_037_MES_0.1-0.22_G_scaffold69286_1_gene64730"	0.978550547228917	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold69286_1_gene64730"	"TARA_039_MES_0.1-0.22_G_scaffold48643_1_gene60190"	0.978550547228917	"GC"	"GC"	NA
"TARA_158_MES_0.22-3_G_scaffold53671_1_gene52565"	"TARA_037_MES_0.1-0.22_G_scaffold67392_1_gene62718"	0.978532572082541	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold67392_1_gene62718"	"TARA_158_MES_0.22-3_G_scaffold53671_1_gene52565"	0.978532572082541	"GC"	"GC"	NA
"TARA_039_MES_0.22-1.6_G_C8136731_1_gene345613"	"TARA_037_MES_0.1-0.22_G_scaffold125933_1_gene124681"	0.978510846588856	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold138173_1_gene137065"	"TARA_037_MES_0.1-0.22_G_scaffold148876_1_gene148160"	0.978469184935946	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold340834_2_gene437968"	"TARA_037_MES_0.1-0.22_G_scaffold340834_1_gene437963"	0.978444891398398	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold340834_1_gene437963"	"TARA_037_MES_0.1-0.22_G_scaffold340834_2_gene437968"	0.978444891398398	"GC"	"GC"	NA
"TARA_155_MES_0.22-3_G_C19672423_1_gene353011"	"TARA_132_MES_0.22-3_G_scaffold130466_1_gene96520"	0.978028823213665	"GC"	"GC"	NA
"TARA_132_MES_0.22-3_G_scaffold130466_1_gene96520"	"TARA_155_MES_0.22-3_G_C19672423_1_gene353011"	0.978028823213665	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_scaffold91002_1_gene88282"	"TARA_039_MES_0.1-0.22_G_scaffold95123_1_gene115432"	0.977879160230452	"GC"	"GC"	NA
"TARA_037_MES_0.1-0.22_G_C20640968_1_gene793856"	"TARA_037_MES_0.1-0.22_G_scaffold250697_1_gene257020"	0.977815733624727	"GC"	"GC"	NA
